Video,Second,L_C,L_A,R_C,R_A
AAKTSE1,4.570645886934892e-15,-176.8236754,461.4672879193399,-116.1944481,-635.0144505
AAKTSE1,5.339500093017973e-15,-143.1624206,828.3502351525774,-128.1686651,-599.7915763
AAKTSE1,2.555640620300559e-15,-84.99338808,1069.3731823858147,-118.8703567,-606.7242575
AAKTSE1,6.877208505184147e-15,10.52231113281952,1224.076129619053,-126.4459878,-625.7624944
AAKTSE1,7.646062711267227e-15,37.80801034480839,844.6568546300687,-139.7200027,-639.1796201
AAKTSE1,4.8622032385498135e-15,-12.75073489,786.6231351966399,-110.4799772,-515.3523014
AAKTSE1,5.631057444632894e-15,-22.47281345,786.3027490965444,-90.98086079,-502.1749827
AAKTSE1,6.399911650715975e-15,-0.01600313,712.232363,-78.96507771,-501.6498862
AAKTSE1,3.616052177998561e-15,-2.268081696,690.7897546741314,-218.802628,-555.8236786
AAKTSE1,4.384906384081642e-15,114.83428418253183,726.8738130184807,-406.2246227,-686.6585821
AAKTSE1,5.153760590164722e-15,78.09998339452075,641.1967602517182,-508.9721729,-787.4312633
AAKTSE1,2.3699011174473083e-15,-18.91765073,695.8541519294006,-496.1519454,-813.5739446
AAKTSE1,3.138755323530389e-15,127.08804848516554,961.2826547,-267.5839401,-558.1166259
AAKTSE1,3.9076095296134705e-15,163.92930325271044,940.1522686180983,-214.6259348,-571.6948627
AAKTSE1,4.67646373569655e-15,234.9550024647003,876.0607714068917,-243.3134851,-566.6853218
AAKTSE1,5.4453179417796366e-15,215.77959056557722,685.9070519734631,-318.4099242,-596.6224475
AAKTSE1,6.214172147862718e-15,166.30973422201106,702.6644436511451,-82.35303002,-641.1340177
AAKTSE1,6.983026353945799e-15,263.450989,856.2240576,-209.1616914,-490.4900323
AAKTSE1,4.199166881228385e-15,261.2566882015449,738.0047825620654,-227.6603528,-422.477158
